Graafik päeval 1
Koostas: mdr Mikk
Kuupäev: 2023-11-12
Name       Shift       Task
G       2200-2300       Patrull
E       2200-2300       Post
B       2200-2300       Ahi
B       2300-0000       Post
G       2300-0000       Ahi
G       0000-0100       Post
C       0000-0100       Ahi
C       0100-0200       Post
D       0100-0200       Ahi
C       0200-0300       Patrull
D       0200-0300       Post
F       0200-0300       Ahi
D       0300-0400       Patrull
G       0300-0400       Post
C       0300-0400       Ahi
F       0400-0500       Post
D       0400-0500       Ahi
A       0500-0600       Post
F       0500-0600       Ahi
